Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1244.2040;-43.7000;-40.9900;-2.7100
1244.4030;-43.6100;-40.8700;-2.7400
1244.6020;-43.5300;-40.7600;-2.7700
1244.8010;-43.4500;-40.6400;-2.8100
1245.0000;-43.3800;-40.5300;-2.8500
1245.1990;-43.3200;-40.4300;-2.8900
1245.3980;-43.2500;-40.3100;-2.9400
1245.5970;-43.1900;-40.2000;-2.9900
1245.7970;-43.1200;-40.0800;-3.0400
1245.9960;-43.0500;-39.9600;-3.0900
1246.1950;-43.0000;-39.8600;-3.1400
1246.3940;-42.9400;-39.7300;-3.2100
1246.5930;-42.8800;-39.6000;-3.2800
1246.7920;-42.8200;-39.4800;-3.3400
1246.9910;-42.7500;-39.3400;-3.4100
1247.1900;-42.7100;-39.2300;-3.4800
1247.3890;-42.6500;-39.0900;-3.5600
1247.5890;-42.5900;-38.9600;-3.6300
1247.7880;-42.5400;-38.8200;-3.7200
1247.9870;-42.4800;-38.6800;-3.8000
1248.1860;-42.4500;-38.5600;-3.8900
1248.3850;-42.4000;-38.4100;-3.9900
1248.5840;-42.3600;-38.2800;-4.0800
1248.7830;-42.3200;-38.1400;-4.1800
1248.9820;-42.3000;-38.0100;-4.2900
1249.1810;-42.2800;-37.8800;-4.4000
1249.3810;-42.2700;-37.7400;-4.5300
1249.5800;-42.2600;-37.6100;-4.6500
1249.7790;-42.2500;-37.4700;-4.7800
1249.9780;-42.2400;-37.3300;-4.9100
1250.1770;-42.2600;-37.2200;-5.0400
1250.3760;-42.2700;-37.0800;-5.1900
1250.5750;-42.3000;-36.9500;-5.3500
1250.7740;-42.3200;-36.8200;-5.5000
1250.9740;-42.3600;-36.7000;-5.6600
1251.1730;-42.4100;-36.5800;-5.8300
1251.3720;-42.4500;-36.4400;-6.0100
1251.5710;-42.5200;-36.3400;-6.1800
1251.7700;-42.5600;-36.2000;-6.3600
1251.9690;-42.6200;-36.0700;-6.5500
1252.1680;-42.6900;-35.9400;-6.7500
1252.3670;-42.7400;-35.7800;-6.9600
1252.5660;-42.8300;-35.6800;-7.1500
1252.7660;-42.8800;-35.5400;-7.3400
1252.9650;-42.9600;-35.4300;-7.5300
1253.1640;-43.0300;-35.2800;-7.7500
1253.3630;-43.0900;-35.1400;-7.9500
1253.5620;-43.1800;-35.0200;-8.1600
1253.7610;-43.2400;-34.8800;-8.3600
1253.9600;-43.3300;-34.7600;-8.5700
1254.1590;-43.4100;-34.6100;-8.8000
1254.3580;-43.4800;-34.4800;-9.0000
1254.5580;-43.5700;-34.3500;-9.2200
1254.7570;-43.6300;-34.2100;-9.4200
1254.9560;-43.7200;-34.0800;-9.6400
1255.1550;-43.8000;-33.9500;-9.8500
1255.3540;-43.8700;-33.8200;-10.0500
1255.5530;-43.9600;-33.7000;-10.2600
1255.7520;-44.0200;-33.5700;-10.4500
1255.9510;-44.0900;-33.4500;-10.6400
1256.1500;-44.1500;-33.3100;-10.8400
1256.3500;-44.1900;-33.1900;-11.0000
1256.5490;-44.2400;-33.0700;-11.1700
1256.7480;-44.2600;-32.9400;-11.3200
1256.9470;-44.2700;-32.8200;-11.4500
1257.1460;-44.2500;-32.6900;-11.5600
1257.3450;-44.2200;-32.5600;-11.6600
1257.5440;-44.1900;-32.4400;-11.7500
1257.7430;-44.1100;-32.3100;-11.8000
1257.9430;-44.0300;-32.1900;-11.8400
1258.1420;-43.9100;-32.0600;-11.8500
1258.3410;-43.7800;-31.9400;-11.8400
1258.5400;-43.6300;-31.8100;-11.8200
1258.7390;-43.4500;-31.6800;-11.7700
1258.9380;-43.2700;-31.5500;-11.7200
1259.1370;-43.0500;-31.4200;-11.6300
1259.3360;-42.8300;-31.3000;-11.5300
1259.5350;-42.5900;-31.1700;-11.4200
1259.7350;-42.3400;-31.0400;-11.3000
1259.9340;-42.0900;-30.9100;-11.1800
1260.1330;-41.8200;-30.7800;-11.0400
1260.3320;-41.5500;-30.6600;-10.8900
1260.5310;-41.2700;-30.5300;-10.7400
1260.7300;-40.9800;-30.4100;-10.5700
1260.9290;-40.7100;-30.2900;-10.4200
1261.1280;-40.4100;-30.1500;-10.2600
1261.3270;-40.1400;-30.0400;-10.1000
